WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
"R 575b | S 288/2 | N7
R 600 | S 310 | N20",298,,,,,,,
R 575b | S 288/2 | N7,299,,,,,,,
R 600 | S 310 | N20,300,,,,,,,
R 168 | S 491 | A235,301,,,,,,,
"R 72 | S 506a | A286a 
R 350 | S 582 | B53",302,,,,,,,
R 350 (R 72),303,,,,,,,
R 350 (R 72),304,,,,,,,
R 72,305,,,,,,,
"R 72,8 | S 506a | A286a [Klavier]
R 72,6 | S 669a | A286b [Orgel]",306,,,,,,,
R 316 | S 590 | B20,307,,,,,,,
R 107 | S 241 | A11,308,,,,,,,
--,309,,,,,,,
R 126 | S 389 | A177,310,,,,,,,
R 138 | S 472 | D5,311,,,,,,,
R 177 | S 498 | A316,312,,,,,,,
R 177 | S 498 | A316,313,,,,,,,
R 177 | S 498 | A316,314,,,,,,,
R 177 | S 498 | A316,315,,,,,,,
"R 560,3 | S 89a/2 | M10",316,,,,,,,
"R 278,2 | S 445 | A176",317,,,,,,,
,318,,,,,,,
R 356 | S 258 | C18,319,,,,,,,
R 223 | S 414 | A165,320,,,,,,,
R 426 | S 109 | G14,321,,,,,,,
R 426 | S 109 | G14,322,,,,,,,
R 426 | S 109 | G14,323,,,,,,,
R 426 | S 109 | G14,324,,,,,,,
R 426 | S 109 | G14,325,,,,,,,
"R 238,2 | S 553/2 | A141/2",326,,,,,,,
"R 238,2 | S 553/2 | A141/2",327,,,,,,,
"R 238,2 | S 553/2 | A141/2",328,,,,,,,
R 264 | S 431 | A149,329,,,,,,,
R 280 | S 447 | A239,330,,,,,,,
"R 287,1 | S 445/1 | A176/1",331,,,,,,,
"R 287,1 | S 445/1 | A176/1",332,,,,,,,
R 145 | S 480 | A193,333,,,,,,,
R 145 | S 480 | A193,334,,,,,,,
R 145 | S 480 | A193,335,,,,,,,
R 145 | S 480 | A193,336,,,,,,,
R 145 | S 480 | A193,337,,,,,,,
R 145 | S 480 | A193,338,,,,,,,
R 145 | S 480 | A193,339,,,,,,,
R 255 | S 567 | A212,340,,,,,,,
"R 255,1 | S 567/1 | A212/1",341,,,,,,,
"R 255,2 | S 567/2 | A212/2",342,,,,,,,
R 256 | S 568 | A257,343,,,,,,,
R 174 | S 495 | A211/2,344,,,,,,,
R 173 | S 494 | A221/1,345,,,,,,,
R 287 | S 454 | A150,346,,,,,,,
R 141 | S 396 | A178,347,,,,,,,
R 140 | S 474 | A30,348,,,,,,,
R 291 | S 577 | A87,349,,,,,,,
R 291 | S 577 | A87 [Nr. 1],350,,,,,,,
R 291 | S 577 | A87 [Nr. 2],351,,,,,,,
R 291 | S 577 | A87 [Nr. 3],352,,,,,,,
R 114 | S 461/461i | A217,353,,,,,,,
R 118 | S 387 | A144,354,,,,,,,
R 118 | S 387 | A144,355,,,,,,,
R 118 | S 387 | A144,356,,,,,,,
R 118 | S 387 | A144,357,,,,,,,
R 394 | S 668a | E27/2a,358,,,,,,,
R 463 | S 382 | D21,360,,,,,,,
R 191 | S 499 | A307,361,,,,,,,
R 124 | S 469 | A162,362,,,,,,,
R 124 | S 469 | A162,363,,,,,,,
R 124 | S 469 | A162,364,,,,,,,
R 124 | S 469 | A162,365,,,,,,,
R 124 | S 469 | A162,366,,,,,,,
R 124 | S 469 | A162,367,,,,,,,
R 124 | S 469 | A162,368,,,,,,,
,369,,,,,,,
R 651/1 | S 375 | N63,370,,,,,,,
R 651/2 | S 375 | N63,371,,,,,,,
R 637 | S 344 | N79,372,,,,,,,
R 436 | S 116 | G23,373,,,,,,,
R 572b | S 284/2 | N25,374,,,,,,,
R 325 | S 599 | B15,375,,,,,,,
R 165 | S 490 | A298,376,,,,,,,
R 37/3 | S 695e | Q21,377,,,,,,,
"R 501/2 | S 35 | J17

im Raabe Katalog 501b",378,,,,,,,
R 9 | S 157 | A21,379,,,,,,,
,380,,,,,,,
S 164d,381,,,,,,,
S 167g,382,,,,,,,
R 659 | S 686 | P4,383,,,,,,,
"R 279,3 | S 446/3 | A185/3",384,,,,,,,
R 221 | S 412/1 | A35,385,,,,,,,
"R 128,7 | S 463d | A37b",386,,,,,,,
R 582b | S 292b | N32,387,,,,,,,
"R 582b,1 | S 292b/1 | N32",388,,,,,,,
"R 582b,2 | S 292b/2 | N32",389,,,,,,,
"R 582b,3 | S 292b/3 | N32",390,,,,,,,
"R 81,1 | S 200/1 | A319a",391,,,,,,,
R 593b | S 269/2 | N1,392,,,,,,,
R 135 | S 470a/1 | A16b,393,,,,,,,
R 139 | S 473/2 | A29b,394,,,,,,,
R 142 | S 475 | A205 ,395,,,,,,,
R 175 | S 497 | A323,396,,,,,,,
R 159 | S 404 | A160,397,,,,,,,
"R 55 | S 523 | A248
",398,,,,,,,
R 572b | S 284/2 | N25,399,,,,,,,
R 601 | S 281 | N22,400,,,,,,,
R 599b | S 309bis | N36,401,,,,,,,
R 185 | S 518 | A225,402,,,,,,,
R 181 | S 514 | A189,403,,,,,,,
R 608 | S 289/2 | N29/2,404,,,,,,,
R 590 | S 314 | N49,405,,,,,,,
R 579a | S 280/1 | N23,406,,,,,,,
R 591b | S 273/2 | N5,407,,,,,,,
,408,,,,,,,
"R 465,1 (487)",409,,,,,,,
"R 465,1 (487)",410,,,,,,,
"R 465,2 (487)",411,,,,,,,
"R 465,2 (487)",412,,,,,,,
