edwoca,Name (RD),Name (abweichend),Infos,Art,GND-ID,Name GND
GND,,,,Person,118704931,"Hiller, Ferdinand von"
GND,,,,Person,118604899,"Sainte-Beuve, Charles Augustin"
GND,,,,Person,105283986X,"Montgolfier, Jenny"
GND,,,,Person,11732633X,"Schlesinger, Maurice"
GND,,,,Person,119499819,"Ortigue, Joseph d'"
GND,,,,Person,116849436,"Schober, Franz von"
GND,,,,Person,118729624,"Lützow, Therese von"
GND,,,,Person,1280840978,"Spiegel zu Peckelsheim, Carl Emil von"
GND,,,,Person,116835648,"Massart, Lambert"
GND,,,,Person,119038161,"Urhan, Chrétien"
GND,,,,Person,118720287,"Balzac, Éveline de"
GND,,,,Person,118605348,"Sand, George"
GND,,,,Person,117068098,"Lobe, Johann Christian"
GND,,,,Person,117467146,"Serov, Aleksandr N."
GND,,,,Person,118546643,"Haslinger, Tobias"
GND,,,,Person,119011069,"Moscheles, Charlotte"
GND,,,,Person,119388472,"Reinecke, Carl"
GND,,,,Person,119455668,"Ernst, Heinrich Wilhelm"
GND,,,,Person,117041467,"Milde, Feodor von"
GND,,,,Person,118767755,"Wieck, Friedrich"
GND,,,,Person,11861164X,"Wieck, Clara"
GND,,,,Person,116760206,"Marchesi, Mathilde"
GND,,,,Person,104066849,"Schmidt, Gustav"
GND,,,,Person,11876912X,"Volkmann, Robert"
GND,,,,Person,116569689,"Escudier, Léon"
GND,,,,Person,118543830,"Gutzkow, Karl"
GND,,,,Person,1037104420,"Esterházy de Galántha, Kasimir"
GND,,,,Person,117279757,"Uhlig, Theodor"
GND,,,,Person,117018201,"Sauerma, Rosalie von"
GND,,,,Person,116285036,"Köhler, Louis"
GND,,,,Person,116865407,"Laub, Ferdinand"
GND,,,,Person,117658316,"Stern, Julius"
GND,,,,Person,104235012,"Lenz, Wilhelm von"
GND,,,,Person,116322160,"Radecke, Robert"
GND,,,,Person,117401625,"Singer, Edmund"
GND,,,,Person,1081829699,"Steche, Lidy"
GND,,,,Person,116552433,"Brockhaus, Heinrich"
GND,,,,Person,119020742,"Brendel, Franz"
GND,,,,Person,116316705,"Apt, Anton"
GND,,,,Person,118534645,"Franck, César"
GND,,,,Person,116569697,"Escudier, Marie"
GND,,,,Person,136768148,"Liszt, Eduard von"
GND,,,,Person,116344709,"Arnemann, Mathilde"
GND,,,,Person,115359885,"Wasielewski, Wilhelm Joseph von"
GND,,,,Person,11894889X,"Mason, William"
GND,,,,Person,117346667,"Street-Klindworth, Agnes"
GND,,,,Person,124725031,"Kiel, Clemens August"
GND,,,,Person,118709143,"Hauptmann, Moritz"
GND,,,,Person,117008338,"Meyerbeer, Minna"
GND,,,,Person,118545825,"Hanslick, Eduard"
GND,,,,Person,118651455,"Bach, Alexander von"
GND,,,,Person,110700805,"Stern, Adolf"
GND,,,,Person,1076665144,"Turányi, Carl von"
GND,,,,Person,118642529,"Stasov, Vladimir Vasil'evič"
GND,,,,Person,116077395,"Kaulbach, Josephine von"
GND,,,,Person,116065052,"Milde, Rosa von"
GND,,,,Person,117237973,"Stein, Eduard"
GND,,,,Person,117466751,"Seifriz, Max"
GND,,,,Person,137599803,"Reubke, Adolf"
GND,,,,Person,116957212,"Friedrich Wilhelm, Hohenzollern-Hechingen, Fürst"
GND,,,,Person,116051760,"Pasqué, Ernst"
GND,,,,Person,1282223925,"Armingaud, Jules"
GND,,,,Person,117099821,"Schaeffer, Julius"
GND,,,,Person,117735760,"Bronsart, Ingeborg von"
GND,,,,Person,116206748,"Klauser, Karl"
GND,,,,Person,11711684X,"Schuberth, Julius"
GND,,,,Person,118602985,"Rossini, Gioachino"
GND,,,,Person,118589865,"Ollivier, Émile"
GND,,,,Person,118586416,"Napoléon III., Frankreich, Kaiser"
GND,,,,Person,116114185,"Beliczay, Julius von"
