,MGG (1),MGG (2),MGG (3),Raabe,Searle,Eckhardt-Müller,Werktitel (MGG),Titel des Werks ,Populartitel,Vertonung,Fassung,Version,Titel des untergeordneten Werks,Abteilungen / Akte / Abschnitte,Sammlung 1,Sammlung 2,Tonart,Taktart,Tempoangabe,Besetzung,Text-Incipits,Widmung an,Widmung diplomatisch,Kommentar zur Widmung,Musikalische Vorlage,Komponist,Textvorlage,Textdichter,Vorlage Kunstwerk,Künstler,Lokalitätsbezug,Kompositionszeitraum,"Entstehung und Herausgabe
(Fließtext)",Erstausgabe,Link Notentext EA,Anthologie,Folgeausgaben,UA,Weitere Aufführungen,Konzertberichte,Werkrezensionen,"Verweis auf andere ""Werke""",Briefstellen,Literatur (1),Seite (1),Literatur (2),Seite (2),Literatur (3),Seite (3),Literatur (4),Seite (4),Literatur (5),Seite(5),Neuausgaben,Bearbeiter,Kommentare Bearbeiter,Autographe Entwürfe (1),Link,Kommentar,Autographe Entwürfe (2),Link,Kommentar,Autographe Entwürfe (3),Kommentar,Autograph(e Stichvorlage) (1),Link ,Kommentar,Autograph(e Stichvorlage) (2),Link,Kommentar,Autograph(e Stichvorlage) (3),Link,Kommentar,Autographe Abschrift (1),Link,Kommentar,Autographe Abschrift (2),Link,Kommentar,Autographe Abschrift (3),Kommentar,Autographe Abschrift (4),Kommentar,Drucke mit Eintragungen von Liszts Hand (1),Link,Kommentar,Drucke mit Eintragungen von Liszts Hand (2),Link,Kommentar,"Auktionen, Katalog",Link,Kommentar
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Graduale,,,,,,,,Laudate te Dominum,,,,,,Vulgata Ps 116 (heutige Zählung Ps 117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Credo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Offertorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Sanctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Benedictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Agnus Dei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,489,13,I3,"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen): 1. Version",Der 13te Psalm,,,Version 1,,,,,,,,,"S, Mez, T, Bar, gemCh., Orch.","Herr, wie lange willst du meiner so gar vergessen",,,,,,,,,,,,,-,,,-,"UA: Berlin, 06.12.1855",,,,,,,,,,,,,,,,,,,,,,,,,,,"RUS-SPsc Fund 298. Collection of Alexander Siloti, No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,489,13,I3,"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen): 2. Version",Der 13te Psalm,,,Version 2,,,,,,,,,"T, gemCh., Orch.","Herr, wie lange willst du meiner so gar vergessen",,,,,,,,,,,,,"Lpz. 1864†, Kahnt",,,,,,,,,,Tiemeyer 2019,76-80,,,,,,,,,,,,,,,,,,,,A-Wn Mus.Hs.41952,http://data.onb.ac.at/rec/AL00235236 ,Nur Orgelstimme ,CH-Bps.AWS.III.40.1,,"Abschrift von fremder Hand, mit Korrekturen von Liszt (ursprünglich war noch die Besetzung der 1. Fassung vorgesehen, wurde aber gestrichen bzw. überklebt)",CH-Bps.AWS.III.40.2,,Korrekturen und Ergänzungen Liszts zur Abschrift CH-Bps.AWS.III.40.1,"D-WRgs GSA 60/B 7,1",,Schrift Radeckart; Korrekturen von Liszt ,,,,,,,,"D-WRgs GSA 60/B 7,2",,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,490,14,I5,Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),,,,,,,,,,,,,"gemCh., 2 Trp, 3 Pos, Tuba",,,,,,,,,,,,,,-,,,-,"UA: Weimar, 25.06.1861",,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/B 8b,,,,,,,,D-WRgs GSA 60/B 8a , ,,US-Wc ML31.M6.,,"Version für Tenor, Bass und Orgel; Moldenhauer Archive Box 30",,,,D-WRgs GSA 60/B 8b ,,Abschrift in zeitgenössischer Schrift; enthält auch eine Neuinstrumentierung der Blechbläser von Liszts Hand ,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,503,48,I6,"Psalm 96, Vers 10-11 (Der Herr bewahret die Seelen seiner Heiligen)",,,,,,,,,,,,,"gemCh., Blas-Instr., Orgel, Pk",,,,Festgesang zur Enthüllung des Carl-August-Denkmals in Weimar am 3.9. 1875 (Raabe) ,,,,,,,,,,"Lpz. 1887†, Licht & Meyer",,,,"UA: Weimar, 03.09.1875",,,,A268,,,,,,,,,,,,MW v/6,,,US-NYp JPB 92-1 Series 8 Folder 6 (Locked case) ,,,,,,,,,,,,,,,,,D-WRgs GSA 60/B 24b,,zeitgenössische Schrift mit Korrekturen von Liszt ,,,,,,,,,,,,,,,,
